playlist_genre,danceability,energy,valence,liveness,speechiness,acousticness,track_popularity,track_name,track_artist
hip-hop,0.76,0.718,0.557,0.0982,0.232,0.348,72,Pa Ti,"Bad Bunny, Bryant Myers"
hip-hop,0.752,0.748,0.497,0.105,0.0895,0.289,70,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,"Trap Capos, Noriel, Bad Bunny, Almighty"
hip-hop,0.689,0.536,0.349,0.169,0.174,0.25,69,Tu Me Enamoraste - Remix,"Lary Over, Anuel, Bryant Myers, Almighty, Brytiago"
hip-hop,0.566,0.531,0.367,0.179,0.0716,0.192,73,Nena Maldición (feat. Lenny Tavárez),"Paulo Londra, Lenny Tavárez"
hip-hop,0.883,0.657,0.284,0.128,0.305,0.0603,77,PUFFIN ON ZOOTIEZ,Future
hip-hop,0.753,0.88,0.582,0.146,0.081,0.455,73,1993,Matuê
hip-hop,0.889,0.496,0.544,0.252,0.0905,0.259,74,Going Bad (feat. Drake),"Meek Mill, Drake"
hip-hop,0.712,0.708,0.634,0.29,0.247,0.404,71,Un Día Más,"Duki, YSY A"
hip-hop,0.744,0.696,0.406,0.0808,0.117,0.71,69,De las 2 (feat. Bad Bunny & Arcángel),"Trap Capos, Noriel, Bad Bunny, Arcángel"
hip-hop,0.523,0.629,0.209,0.323,0.0549,0.156,68,Un Ratito Mas,"Bryant Myers, Bad Bunny"
hip-hop,0.697,0.735,0.403,0.099,0.0497,0.172,73,CANZONE D'ODIO (feat. Lil Baby),"Lazza, Lil Baby"
hip-hop,0.607,0.671,0.316,0.128,0.0863,0.403,68,Deus Perdoa,"Filipe Ret, Dallass, Hunter"
hip-hop,0.784,0.486,0.0894,0.101,0.0475,0.0538,80,Solo,Future
hip-hop,0.709,0.583,0.533,0.195,0.204,0.138,79,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown"
hip-hop,0.69,0.385,0.19,0.236,0.0817,0.181,68,Cómo Le Digo,"KHEA, Omar Varela, Asan"
hip-hop,0.722,0.411,0.503,0.0976,0.387,0.509,70,Maturidade,"KayBlack, Wall Hein, AMUSIK"
hip-hop,0.93,0.484,0.747,0.0922,0.259,0.355,70,Problemas de um Milionário,"WIU, Teto"
hip-hop,0.883,0.6,0.691,0.0931,0.37,0.114,72,BOOKER T,Bad Bunny
hip-hop,0.834,0.73,0.446,0.124,0.222,0.00513,81,SICKO MODE,Travis Scott
hip-hop,0.573,0.668,0.145,0.109,0.0467,0.189,82,Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver"
hip-hop,0.735,0.603,0.429,0.0844,0.203,0.226,71,Me Ama Me Odia,"Revol, Ozuna, Cosculluela, Arcángel, Brytiago"
rock,0.526,0.866,0.248,0.0945,0.0568,0.00287,84,505,Arctic Monkeys
